Interval,experiment ID,Order correctness,correct odr,actual odr,request time from VM,start time from Lambda,expected invocation time,actual invocation time,DELTA,Distribution,
,84ffc908-576d-4c26-95ec-ad6774a31771,,Worker3,Worker3,1733881204600,1733881204644,500,496,4,,
,84ffc908-576d-4c26-95ec-ad6774a31771,,Worker1,Worker1,1733881204700,1733881204721,600,573,27,,
,84ffc908-576d-4c26-95ec-ad6774a31771,,Worker2,Worker2,1733881204801,1733881204834,700,686,14,,
,84ffc908-576d-4c26-95ec-ad6774a31771,,Worker3,Worker3,1733881204900,1733881204942,800,794,6,,
100ms,23cc3995-db41-47f2-86f9-b316ced8be50,FALSE,Worker1,Worker1,1733881245101,1733881245151,0,0,0,"same country (us-east-1f, us-west-1c, us-west-2d)",
,23cc3995-db41-47f2-86f9-b316ced8be50,,Worker2,Worker2,1733881245201,1733881245348,100,197,97,,
,23cc3995-db41-47f2-86f9-b316ced8be50,,Worker3,Worker1,1733881245301,1733881245423,200,272,72,,
,23cc3995-db41-47f2-86f9-b316ced8be50,,Worker1,Worker3,1733881245400,1733881245445,300,294,6,,
,23cc3995-db41-47f2-86f9-b316ced8be50,,Worker2,Worker2,1733881245500,1733881245540,400,389,11,,
,23cc3995-db41-47f2-86f9-b316ced8be50,,Worker3,Worker3,1733881245601,1733881245643,500,492,8,,
,23cc3995-db41-47f2-86f9-b316ced8be50,,Worker1,Worker1,1733881245700,1733881245720,600,569,31,,
,23cc3995-db41-47f2-86f9-b316ced8be50,,Worker2,Worker2,1733881245800,1733881245840,700,689,11,,
,23cc3995-db41-47f2-86f9-b316ced8be50,,Worker3,Worker3,1733881245901,1733881245941,800,790,10,,
100ms,2470d704-0120-4834-abd1-7e1bcc508635,FALSE,Worker1,Worker1,1733881285101,1733881285144,0,0,0,"same country (us-east-1f, us-west-1c, us-west-2d)",
,2470d704-0120-4834-abd1-7e1bcc508635,,Worker2,Worker2,1733881285200,1733881285354,100,210,110,,
,2470d704-0120-4834-abd1-7e1bcc508635,,Worker3,Worker1,1733881285301,1733881285413,200,269,69,,
,2470d704-0120-4834-abd1-7e1bcc508635,,Worker1,Worker3,1733881285400,1733881285447,300,303,3,,
,2470d704-0120-4834-abd1-7e1bcc508635,,Worker2,Worker2,1733881285501,1733881285543,400,399,1,,
,2470d704-0120-4834-abd1-7e1bcc508635,,Worker3,Worker3,1733881285601,1733881285637,500,493,7,,
,2470d704-0120-4834-abd1-7e1bcc508635,,Worker1,Worker1,1733881285700,1733881285716,600,572,28,,
,2470d704-0120-4834-abd1-7e1bcc508635,,Worker2,Worker2,1733881285801,1733881285843,700,699,1,,
,2470d704-0120-4834-abd1-7e1bcc508635,,Worker3,Worker3,1733881285901,1733881285942,800,798,2,,
100ms,a4e1a904-2f2a-4f15-8b2f-f2af30e47972,FALSE,Worker1,Worker1,1733881325101,1733881325147,0,0,0,"same country (us-east-1f, us-west-1c, us-west-2d)",
,a4e1a904-2f2a-4f15-8b2f-f2af30e47972,,Worker2,Worker2,1733881325200,1733881325348,100,201,101,,
,a4e1a904-2f2a-4f15-8b2f-f2af30e47972,,Worker3,Worker1,1733881325300,1733881325418,200,271,71,,
,a4e1a904-2f2a-4f15-8b2f-f2af30e47972,,Worker1,Worker3,1733881325401,1733881325446,300,299,1,,
,a4e1a904-2f2a-4f15-8b2f-f2af30e47972,,Worker2,Worker2,1733881325501,1733881325541,400,394,6,,
,a4e1a904-2f2a-4f15-8b2f-f2af30e47972,,Worker3,Worker3,1733881325600,1733881325639,500,492,8,,
,a4e1a904-2f2a-4f15-8b2f-f2af30e47972,,Worker1,Worker1,1733881325701,1733881325720,600,573,27,,
,a4e1a904-2f2a-4f15-8b2f-f2af30e47972,,Worker2,Worker2,1733881325801,1733881325849,700,702,2,,
,a4e1a904-2f2a-4f15-8b2f-f2af30e47972,,Worker3,Worker3,1733881325900,1733881325941,800,794,6,,
,,,,,,,,AVG,26.38888889,,
,,,,,,,,MAX,112,,
,,,,,,,,MIN,0,,
,,,,,,,,,,,
10ms,cc4c5a2d-353c-4606-a2e8-e1544f4d7c8c,TRUE,Worker1,Worker1,1733881526010,1733881526066,0,0,,"same country (us-east-1f, us-west-1c, us-west-2d)",
,cc4c5a2d-353c-4606-a2e8-e1544f4d7c8c,,Worker2,Worker2,1733881526020,1733881526171,10,105,,,
,cc4c5a2d-353c-4606-a2e8-e1544f4d7c8c,,Worker3,Worker3,1733881526031,1733881526189,20,123,,,
10ms,7414ccf9-f706-4b3e-bff8-87ad14b92b82,TRUE,Worker1,Worker1,1733881567011,1733881567058,0,0,,"same country (us-east-1f, us-west-1c, us-west-2d)",
,7414ccf9-f706-4b3e-bff8-87ad14b92b82,,Worker2,Worker2,1733881567021,1733881567171,10,113,,,
,7414ccf9-f706-4b3e-bff8-87ad14b92b82,,Worker3,Worker3,1733881567030,1733881567192,20,134,,,
10ms,ad5729e5-6a01-454a-bbb2-fd2c91135795,TRUE,Worker1,Worker1,1733881608010,1733881608056,0,0,,"same country (us-east-1f, us-west-1c, us-west-2d)",
,ad5729e5-6a01-454a-bbb2-fd2c91135795,,Worker2,Worker2,1733881608021,1733881608172,10,116,,,
,ad5729e5-6a01-454a-bbb2-fd2c91135795,,Worker3,Worker3,1733881608030,1733881608181,20,125,,,
10ms,a912ee9f-c172-49df-8bf8-53916d25dc92,TRUE,Worker1,Worker1,1733881649011,1733881649057,0,0,,"same country (us-east-1f, us-west-1c, us-west-2d)",
,a912ee9f-c172-49df-8bf8-53916d25dc92,,Worker2,Worker2,1733881649021,1733881649174,10,117,,,
,a912ee9f-c172-49df-8bf8-53916d25dc92,,Worker3,Worker3,1733881649031,1733881649191,20,134,,,
10ms,57b16dd7-9944-4efa-a712-226f037d686b,FALSE,Worker1,Worker1,1733881690010,1733881690060,0,0,,"same country (us-east-1f, us-west-1c, us-west-2d)",
,57b16dd7-9944-4efa-a712-226f037d686b,,Worker2,Worker3,1733881690020,1733881690175,10,115,,,
,57b16dd7-9944-4efa-a712-226f037d686b,,Worker3,Worker2,1733881690030,1733881690175,20,115,,,
10ms,82f39da8-20ba-4a1b-8202-eb11de240d75,TRUE,Worker1,Worker1,1733881976010,1733881976072,0,0,,"same country (us-east-1f, us-west-1c, us-west-2d)",
,82f39da8-20ba-4a1b-8202-eb11de240d75,,Worker2,Worker2,1733881976020,1733881976179,10,107,,,
,82f39da8-20ba-4a1b-8202-eb11de240d75,,Worker3,Worker3,1733881976030,1733881976180,20,108,,,
10ms,e95dc74d-36ca-476b-9184-077dc8765e22,FALSE,Worker1,Worker1,1733882016011,1733882016058,0,0,,"same country (us-east-1f, us-west-1c, us-west-2d)",
,e95dc74d-36ca-476b-9184-077dc8765e22,,Worker2,Worker3,1733882016020,1733882016171,10,113,,,
,e95dc74d-36ca-476b-9184-077dc8765e22,,Worker3,Worker2,1733882016031,1733882016181,20,123,,,
10ms,2f5230e0-b4f4-436c-b2f0-fe6646c9829e,TRUE,Worker1,Worker1,1733882055010,1733882055065,0,0,,"same country (us-east-1f, us-west-1c, us-west-2d)",
,2f5230e0-b4f4-436c-b2f0-fe6646c9829e,,Worker2,Worker2,1733882055021,1733882055168,10,103,,,
,2f5230e0-b4f4-436c-b2f0-fe6646c9829e,,Worker3,Worker3,1733882055030,1733882055183,20,118,,,
10ms,9f04b2a5-98a8-4678-9540-37d6c528fa34,FALSE,Worker1,Worker1,1733882094011,1733882094056,0,0,,"same country (us-east-1f, us-west-1c, us-west-2d)",
,9f04b2a5-98a8-4678-9540-37d6c528fa34,,Worker2,Worker3,1733882094021,1733882094169,10,113,,,
,9f04b2a5-98a8-4678-9540-37d6c528fa34,,Worker3,Worker2,1733882094031,1733882094173,20,117,,,
10ms,ee1cd4e2-5821-462b-9d9a-fbf77c9d2bbf,TRUE,Worker1,Worker1,1733882132010,1733882132060,0,0,,"same country (us-east-1f, us-west-1c, us-west-2d)",
,ee1cd4e2-5821-462b-9d9a-fbf77c9d2bbf,,Worker2,Worker2,1733882132020,1733882132170,10,110,,,
,ee1cd4e2-5821-462b-9d9a-fbf77c9d2bbf,,Worker3,Worker3,1733882132031,1733882132177,20,117,,,
100ms,1be107a8-9ea8-4a53-a9a8-5006be122856,TRUE,Worker1,Worker1,1735938067101,1735938067155,0,0,,"intra-region(us-east-2a, us-east-2b, us-east-2c)",
,1be107a8-9ea8-4a53-a9a8-5006be122856,,Worker2,Worker2,1735938067201,1735938067242,100,87,,,
,1be107a8-9ea8-4a53-a9a8-5006be122856,,Worker3,Worker3,1735938067301,1735938067341,200,186,,,
,1be107a8-9ea8-4a53-a9a8-5006be122856,,Worker1,Worker1,1735938067401,1735938067416,300,261,,,
,1be107a8-9ea8-4a53-a9a8-5006be122856,,Worker2,Worker2,1735938067501,1735938067518,400,363,,,
,1be107a8-9ea8-4a53-a9a8-5006be122856,,Worker3,Worker3,1735938067601,1735938067620,500,465,,,
,1be107a8-9ea8-4a53-a9a8-5006be122856,,Worker1,Worker1,1735938067701,1735938067719,600,564,,,
,1be107a8-9ea8-4a53-a9a8-5006be122856,,Worker2,Worker2,1735938067801,1735938067817,700,662,,,
,1be107a8-9ea8-4a53-a9a8-5006be122856,,Worker3,Worker3,1735938067901,1735938067917,800,762,,,
,3981436d-2dbd-4602-bf11-548fc137a353,TRUE,Worker1,Worker1,1735938117101,1735938117123,0,0,,,
,3981436d-2dbd-4602-bf11-548fc137a353,,Worker2,Worker2,1735938117201,1735938117222,100,99,,,
,3981436d-2dbd-4602-bf11-548fc137a353,,Worker3,Worker3,1735938117301,1735938117324,200,201,,,
,3981436d-2dbd-4602-bf11-548fc137a353,,Worker1,Worker1,1735938117400,1735938117413,300,290,,,
,3981436d-2dbd-4602-bf11-548fc137a353,,Worker2,Worker2,1735938117501,1735938117515,400,392,,,
,3981436d-2dbd-4602-bf11-548fc137a353,,Worker3,Worker3,1735938117601,1735938117616,500,493,,,
,3981436d-2dbd-4602-bf11-548fc137a353,,Worker1,Worker1,1735938117700,1735938117717,600,594,,,
,3981436d-2dbd-4602-bf11-548fc137a353,,Worker2,Worker2,1735938117801,1735938117814,700,691,,,
,3981436d-2dbd-4602-bf11-548fc137a353,,Worker3,Worker3,1735938117900,1735938117914,800,791,,,
,c83ebaaa-83c4-4b27-bcfb-b75e41649322,TRUE,Worker1,Worker1,1735938156101,1735938156127,0,0,,,
